"Xt" "time" "contains_jump"
"66" 5.24553552897773 6.5 0
"67" 5.28314503880431 6.6 0
"68" 5.40040219508686 6.7 0
"69" 5.27152890572166 6.8 0
"70" 5.26856340488362 6.9 0
"71" 5.2367571972058 7 0
"72" 5.94231219735232 7.1 1
"73" 5.80975316039445 7.2 0
"74" 5.72193821838138 7.3 0
"75" 5.6245737291058 7.4 0
"76" 6.24612096453038 7.5 1
"77" 6.17789233515194 7.6 0
"78" 6.01633237978924 7.7 0
"79" 5.85209668287192 7.8 0
"80" 5.81545542114019 7.9 0
"81" 5.72892508026048 8 0
"82" 5.7163336266003 8.1 0
"83" 5.71127975094285 8.2 0
"84" 5.55383629283127 8.3 0
"85" 5.60755580734776 8.4 0
"86" 5.4075713127895 8.5 0
"87" 5.37624858993074 8.6 0
"88" 5.28184003657512 8.7 0
"89" 5.31821345786397 8.8 0
"90" 5.33725440117365 8.9 0
"91" 5.36934824124398 9 0
"92" 6.17209541709223 9.1 1
"93" 6.1609669564971 9.2 0
"94" 6.00461291172635 9.3 0
"95" 5.89665720798254 9.4 0
"96" 5.80430768541598 9.5 0
"97" 5.77630277773956 9.6 0
"98" 5.70643162161564 9.7 0
"99" 5.64323795757777 9.8 0
"100" 5.58083606800702 9.9 0
"101" 5.55466624476394 10 0
"102" 5.58871778472207 10.1 0
"103" 6.08713813757504 10.2 1
"104" 7.15102274325712 10.3 1
"105" 7.2064475576906 10.4 1
"106" 6.9022615967326 10.5 0
"107" 6.70823913376954 10.6 0
"108" 6.58151134590947 10.7 0
"109" 6.52199273682253 10.8 0
"110" 6.3857505615744 10.9 0
"111" 6.46073136099966 11 0
"112" 6.39195974540371 11.1 0
"113" 6.26413702129256 11.2 0
"114" 6.21279150435181 11.3 0
"115" 6.18219549896814 11.4 0
"116" 6.14922112286794 11.5 0
"117" 5.90861198528382 11.6 0
"118" 5.75696038411247 11.7 0
"119" 5.62548271468441 11.8 0
"120" 5.56868282790833 11.9 0
"121" 5.59167891568704 12 0
"122" 5.55434955682297 12.1 0
"123" 5.92107392685466 12.2 1
"124" 5.84811113641546 12.3 0
"125" 5.77685900864044 12.4 0
"126" 6.88440480653823 12.5 1
"127" 6.75937397743299 12.6 0
"128" 6.63506826810874 12.7 0
"129" 6.38157037678982 12.8 0
"130" 6.21443917392476 12.9 0
"131" 5.99848187989899 13 0
"132" 5.93293312040239 13.1 0
"133" 6.26776741625689 13.2 1
"134" 6.24758229433513 13.3 0
"135" 5.97455516900646 13.4 1
"136" 5.88347193293473 13.5 0
"137" 5.85695387793091 13.6 0
"138" 5.77417633034883 13.7 0
"139" 5.8784685948434 13.8 0
"140" 5.821665962654 13.9 0
"141" 5.77439978777966 14 0
"142" 6.98576537597658 14.1 1
"143" 6.85731692581476 14.2 0
"144" 7.397298430553 14.3 1
"145" 7.14401844259488 14.4 0
"146" 6.85670090460198 14.5 0
"147" 6.66757205712113 14.6 0
"148" 6.41140032465616 14.7 0
"149" 6.24038849359388 14.8 0
"150" 6.09058120442 14.9 0
"151" 6.06354845789124 15 0
"152" 6.03892778304326 15.1 0
"153" 5.90486317176256 15.2 0
"154" 5.8218120422009 15.3 0
"155" 6.47069972476513 15.4 1
"156" 6.97081145255048 15.5 1
"157" 6.76506379402854 15.6 0
"158" 6.53696824138303 15.7 0
"159" 6.41038052114595 15.8 0
"160" 6.27582965676808 15.9 0
"161" 6.08319021022342 16 0
"162" 6.0852994974362 16.1 0
"163" 5.89398284305941 16.2 0
"164" 5.7553155977051 16.3 0
"165" 6.10245118322099 16.4 1
"166" 6.06171588299801 16.5 0
"167" 6.66919318662789 16.6 1
"168" 6.76648278194348 16.7 0
"169" 6.59301276862017 16.8 0
"170" 6.52276594774769 16.9 0
"171" 6.40402232996394 17 0
"172" 6.15990131947376 17.1 0
"173" 6.69979948266177 17.2 1
"174" 6.53312586444863 17.3 0
"175" 6.36133712924386 17.4 0
"176" 8.20041652668811 17.5 1
"177" 8.8073264933054 17.6 1
"178" 8.47297748584976 17.7 0
"179" 8.12766153946158 17.8 0
"180" 7.86365182950705 17.9 0
"181" 7.57584335207053 18 0
"182" 7.24724650112144 18.1 0
"183" 8.12945048902119 18.2 1
"184" 7.74048824531766 18.3 0
"185" 7.53025374472692 18.4 0
"186" 7.22739237617208 18.5 0
"187" 7.01524114923372 18.6 0
"188" 7.67216032508668 18.7 1
"189" 7.50658343224476 18.8 0
"190" 7.32851874866817 18.9 0
"191" 7.12637358846309 19 0
"192" 7.37820742297542 19.1 1
"193" 7.18476256830439 19.2 0
"194" 6.97044294769853 19.3 0
"195" 6.7036999775981 19.4 0
"196" 6.68704949716079 19.5 0
"197" 6.58036185585382 19.6 0
"198" 7.49883375956897 19.7 1
"199" 7.28229187764734 19.8 0
"200" 7.05594979801283 19.9 0
"201" 6.85542883993312 20 0
"202" 6.60094863772972 20.1 0
"203" 6.53101279114227 20.2 0
"204" 6.38029445457969 20.3 0
"205" 6.19589396686173 20.4 0
"206" 5.96883720990664 20.5 0
"207" 5.92674920107763 20.6 0
"208" 5.92244269801635 20.7 0
"209" 6.01991623077798 20.8 1
"210" 5.94646150752907 20.9 0
"211" 5.85658970997107 21 0
"212" 6.8959590056362 21.1 1
"213" 6.7095619298862 21.2 1
"214" 6.48949519259332 21.3 0
"215" 6.14170117730428 21.4 1
"216" 6.14389758884538 21.5 0
"217" 6.0398161377 21.6 0
"218" 6.09880920404615 21.7 0
"219" 6.0466343060842 21.8 0
"220" 6.02539213071209 21.9 0
"221" 5.98827847456883 22 0
"222" 5.85008921987211 22.1 0
"223" 5.77594678222886 22.2 0
"224" 5.80473377316622 22.3 0
"225" 5.71904458721976 22.4 0
"226" 7.62613094567567 22.5 1
"227" 7.30028583125916 22.6 0
"228" 7.59728569105026 22.7 1
"229" 7.20870778450844 22.8 0
"230" 7.07159236398939 22.9 0
"231" 6.75612971514501 23 0
"232" 6.64483939111631 23.1 0
"233" 7.0161404909217 23.2 1
"234" 6.98401933248912 23.3 0
"235" 6.73934350342664 23.4 0
"236" 6.55379780178369 23.5 0
"237" 6.48612151466839 23.6 0
"238" 6.34002999765782 23.7 0
"239" 6.35153890172647 23.8 0
"240" 6.26820918946042 23.9 1
"241" 5.97009508416353 24 0
"242" 5.82052926399644 24.1 0
"243" 5.83343309531773 24.2 0
"244" 5.72854622158523 24.3 0
"245" 5.78584602725183 24.4 1
"246" 5.67072928236318 24.5 0
"247" 5.50108955443901 24.6 0
"248" 5.56186107440516 24.7 0
"249" 5.46814691655296 24.8 0
"250" 6.49114079612431 24.9 1
"251" 6.26050581891595 25 0
