"Xt" "time" "contains_jump"
"1" 5 0 0
"2" 5.1245216544258 0.1 0
"3" 5.07325408280784 0.2 0
"4" 4.98202237561418 0.3 0
"5" 4.96578793782102 0.4 0
"6" 4.9057670462549 0.5 0
"7" 4.99025572411298 0.6 0
"8" 5.02620328269968 0.7 0
"9" 5.05674291625547 0.8 0
"10" 4.9113247470608 0.9 0
"11" 4.86830443932306 1 0
"12" 5.01310482196883 1.1 0
"13" 5.03214752435477 1.2 0
"14" 4.99899314524259 1.3 0
"15" 5.01685920075886 1.4 0
"16" 5.35245248738363 1.5 1
"17" 5.94656611943767 1.6 1
"18" 5.67736185548869 1.7 0
"19" 5.72195693181435 1.8 0
"20" 5.6057911393815 1.9 0
"21" 5.55455272759015 2 0
"22" 5.56183091056495 2.1 0
"23" 5.61915615944244 2.2 0
"24" 5.52412522348346 2.3 0
"25" 5.45653007126186 2.4 0
"26" 5.39165794238825 2.5 0
"27" 5.27128292324036 2.6 0
"28" 5.19865919411726 2.7 0
"29" 5.29293165165527 2.8 0
"30" 5.16728045233015 2.9 0
"31" 5.10974965069967 3 0
"32" 5.07780339892394 3.1 0
"33" 5.10500422987335 3.2 0
"34" 5.14603169380095 3.3 0
"35" 5.11469112740672 3.4 0
"36" 5.02574321071374 3.5 0
"37" 5.08033932717936 3.6 0
"38" 5.08708670671813 3.7 0
"39" 5.14045068987099 3.8 0
"40" 5.13060630713616 3.9 0
"41" 5.82409014673634 4 1
"42" 5.64514959555766 4.1 0
"43" 5.65651142638398 4.2 0
"44" 5.59560292895823 4.3 0
"45" 5.48783466253065 4.4 0
"46" 5.40254896779886 4.5 0
"47" 5.32867404698269 4.6 0
"48" 5.35055977312653 4.7 0
"49" 5.20484952983686 4.8 0
"50" 5.2539630599199 4.9 0
"51" 5.26395273499602 5 0
"52" 5.21868030092495 5.1 0
"53" 5.10885096439209 5.2 0
"54" 5.10321815099298 5.3 0
"55" 5.09808356928846 5.4 0
"56" 5.04263944674916 5.5 0
"57" 5.54271887242391 5.6 1
"58" 5.48923879147071 5.7 0
"59" 4.66149352687141 5.8 1
"60" 4.73728324306731 5.9 0
"61" 4.69380967426512 6 0
"62" 5.44405385183105 6.1 1
"63" 5.48816919204823 6.2 0
"64" 5.32995064147036 6.3 0
"65" 5.34002653442373 6.4 0
