"Xjumps" "Yjumps" "Jtime"
0.178404123026006 0.500220597686371 0.7215
0.738489448416646 0.294501720863791 2.248
1.11753249778742 0.610839763508412 3.074
0.679443731890619 0.0693862478288647 3.939
0.759853922498706 0.185085251270321 4.962
0.944240750656241 1.01225997870087 5.911
0.319126701119773 1.19776122175875 6.512
0.601254863907617 0.373088600290992 6.9475
0.0540764036493879 0.0001360899696774 6.9655
0.217612611072617 0.318934245389515 8.551
-0.334858096489965 0.216059466603711 8.8825
-0.218785693680349 0.848699373996179 9.035
0.40250567071346 1.10921295114714 12.2065
0.998968058502732 -0.358687569234129 12.226
0.469460924310136 0.288883961312137 13.399
0.616875745947516 1.32279495123073 13.5185
0.621274294830288 0.520778170311307 13.7765
0.288581538743706 1.31886205630167 15.3405
-0.546068659305724 0.466193628200855 16.21
-0.0820015082498031 -0.111591533075656 16.587
0.477953190040864 -0.223262787251198 16.791
-0.264650570214553 0.441344554610338 18.195
0.820750642967054 0.576669802932086 18.2665
0.349844047995201 0.106987114984261 18.569
0.612316753970851 0.10808540263052 21.445
0.389505710837478 0.898374368638573 21.7695
0.93825110404668 -0.524221208872617 22.8355
0.71896637467378 0.34951572552362 23.011
0.884933440048558 -0.279794800476387 23.333
0.257013388686556 -0.195229660729292 24.09
0.971251178407586 0.690006950768322 24.1875
0.627908951714291 0.494684767975976 24.5585
0.390948337419905 1.17127562129692 26.369
0.0761803115120641 -0.515691545856335 29.2455
-0.215471826799797 -1.27273029585371 30.982
0.597389838871463 -0.394850643672597 31.0265
1.26607540015944 0.790634800887939 36.629
1.08278230637831 -0.733561823150489 37.2395
0.78616526789132 -0.392002651986116 37.349
1.570270621528 0.541377379261706 37.8775
0.957792899495178 0.559476888434753 39.3025
1.66241306125209 0.236891492056353 39.329
0.102298689706089 1.02315877306465 41.9915
0.395594645370084 -0.290453545689367 42.6255
0.384170080747127 0.334963901624447 42.9275
0.385350511253483 0.355702547879071 43.656
1.08513716383367 0.961625656847019 44.053
-0.164380291749301 0.156555345508723 47.9255
0.26845451931364 0.417094283492123 48.3835
