"Xt" "Yt" "time"
5 5 0
5.08485544739848 4.93048031623258 0.1
5.3822448902006 4.86500392809384 0.2
5.27555898882861 4.92995807195186 0.3
5.52986875021973 4.95607615991749 0.4
5.62556962666861 5.06426244266827 0.5
5.98577129791599 4.99272128661333 0.6
5.84777905298872 5.05658249443978 0.7
6.28938764709117 5.49963921009457 0.8
6.60877713497887 5.31440304485275 0.9
6.66023998401026 5.27088609968494 1
6.47413294235692 5.21119339089765 1.1
6.4652425958734 5.22501871701077 1.2
6.55100354823388 5.02051301568288 1.3
6.45715027230834 4.98886266861498 1.4
6.52345785319963 4.97614947364457 1.5
6.52532021641609 5.01665127648801 1.6
6.31266143646677 5.16532902698613 1.7
6.43460509251208 5.11871684279521 1.8
6.12675001826583 5.11473556290759 1.9
6.23032917766086 5.15356897938862 2
5.95311997010652 5.19157794551192 2.1
5.85374424001591 5.18219522097559 2.2
6.65195834704325 5.38215461649512 2.3
6.83442914532027 5.20923035517105 2.4
6.89886080716622 5.21714759683373 2.5
6.60523568231189 5.1318372080901 2.6
6.76559244712289 5.16259526710213 2.7
6.69164800188908 5.08650095968925 2.8
6.55542418000124 5.11203035412112 2.9
6.66619582346804 5.16899493769084 3
7.84498552030299 5.75224026059474 3.1
8.19724016292506 5.4198824433549 3.2
8.28342227178474 5.36287818233559 3.3
8.03529220719275 5.26990026667778 3.4
8.15387094906055 5.16333382012918 3.5
7.76655307273791 5.22643123382485 3.6
7.59509559197194 5.27542352040357 3.7
8.02052116981353 5.16481597954516 3.8
7.73190082701143 5.04976361311245 3.9
8.16839720091636 5.04883075322604 4
8.47406967866944 5.07069120559266 4.1
8.42572502898027 5.08422532267635 4.2
8.24896758455794 5.11834668793951 4.3
8.26741993527383 5.08444927115495 4.4
8.28945055469343 5.18138787722694 4.5
7.90749782525079 5.27950285845835 4.6
8.25890486576668 5.31924905842708 4.7
8.60470010849182 5.24931139805827 4.8
8.24358166205583 5.17928584717055 4.9
8.819048653813 5.41848999851904 5
8.34599457156428 5.42910718975147 5.1
8.01618260371913 5.5741059134446 5.2
7.89126679748453 5.63717241886717 5.3
7.43448426350905 5.66765828818977 5.4
7.37430306511271 5.60965318537166 5.5
7.35841241090026 5.57295424331371 5.6
7.30146735429832 5.51626210149887 5.7
7.61737924122155 5.4020058686044 5.8
7.85467266389218 5.42692511339829 5.9
8.52633380706137 6.17424184192999 6
8.2425448588124 5.94930477887317 6.1
8.24682808295106 5.84933909295367 6.2
8.05540153591569 5.83211997080876 6.3
8.32943398549173 5.73950307657584 6.4
8.08741439029948 5.80661205401042 6.5
8.54009259123658 6.76405679970229 6.6
8.58340517403566 6.63561144396001 6.7
8.80016375342862 6.52874673514565 6.8
9.0265718268421 6.28790468062655 6.9
9.75171329828745 6.56965293145445 7
9.56906250511616 6.37140678995323 7.1
9.74006985405744 6.16908360844676 7.2
10.0955772369213 6.05088090387263 7.3
9.73008846621024 5.88395903984062 7.4
9.9146513532353 5.77282870107358 7.5
9.58483422941713 5.71255222210126 7.6
9.5142980053038 5.55376116819575 7.7
9.66191939567576 5.52128903574325 7.8
9.71507207430172 5.55424634891192 7.9
9.97953741448937 5.54233405755251 8
9.74576959865459 5.44800324404808 8.1
9.78652134819006 5.44061795049413 8.2
9.64359674346342 5.3501822911151 8.3
9.29437246793838 5.3569217205754 8.4
9.44083804613165 5.26617512403654 8.5
9.42860417097515 5.62257320123151 8.6
9.60628609888531 5.6020984157166 8.7
9.43336409266742 5.4375991706705 8.8
8.8495107762464 5.44228482700356 8.9
9.08785567190723 5.44626804006393 9
8.53394910045784 6.19550356314778 9.1
8.53290334698509 6.14631877026756 9.2
7.83762763155046 6.01312359542164 9.3
7.79436726504701 5.96447016095972 9.4
7.65415967161672 5.73758462877926 9.5
7.93166315291922 5.49700042925044 9.6
7.65530361773434 5.41103647995303 9.7
7.54585693320012 5.30258052491821 9.8
7.20800981654053 5.2331505816024 9.9
7.15892167451276 5.16766206091066 10
7.03316166398707 5.09943283376443 10.1
7.31543830892144 5.0764520892556 10.2
7.32136832249537 5.08928984575301 10.3
7.12630653070378 5.13010559144326 10.4
7.25258475329176 5.1687527154497 10.5
7.5086575751813 5.09189330725113 10.6
7.59068518051377 5.06792529530833 10.7
7.33762221850163 5.02031343082419 10.8
7.49492602333967 4.9347806592354 10.9
7.52933638220044 4.97426131959696 11
7.5071650765204 4.96862920927543 11.1
7.46219738649566 4.98977844271835 11.2
7.55976886544454 5.00825609054297 11.3
7.59001569826173 5.12249028034412 11.4
7.7663479434985 5.08773148628746 11.5
7.5922615713108 5.00567629249068 11.6
7.44045809590791 5.08059484731385 11.7
7.36830077522761 5.1886385796959 11.8
7.27687403113802 5.22868527812739 11.9
7.07086659588593 5.09273313570622 12
